Nation;Overall Score;Jameel Index;Jameel Index;Food IM Dep;Food IM Dep;Feed IM Dep;Feed IM Dep;For Exch ;For Exch ;Supply Reliab;Supply Reliab;Supply Robust;Supply Robust;Climate Policy;Climate Policy
Latvia;40%;2;Very Low;2;Low;1;Very Low;2;Low;2;Low;4;High;1;Very Low
Macao;50%;4;Medium;5;Extreme;1;Very Low;4;High;2;Low;2;Low;1;Very Low
Morocco;53%;4;Medium;4;High;3;Medium;3;Medium;3;Medium;2;Low;1;Very Low
Moldova, Republic of;40%;2;Very Low;1;Very Low;1;Very Low;3;Medium;2;Low;4;High;1;Very Low
Madagascar;57%;3;Low;3;Medium;1;Very Low;4;High;3;Medium;3;Medium;3;Medium
Mexico;67%;4;Medium;3;Medium;3;Medium;2;Low;4;High;4;High;4;High
North Macedonia;60%;4;Medium;3;Medium;2;Low;3;Medium;4;High;2;Low;4;High
Mali;37%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;2;Low;4;High;2;Low
Malta;63%;4;Medium;5;Extreme;5;Extreme;3;Medium;4;High;1;Very Low;1;Very Low
Myanmar;33%;2;Very Low;1;Very Low;1;Very Low;2;Low;2;Low;3;Medium;1;Very Low
Montenegro;67%;5;High;5;Extreme;4;High;4;High;4;High;2;Low;1;Very Low
Mongolia;47%;3;Low;2;Low;1;Very Low;2;Low;2;Low;4;High;3;Medium
Mozambique;53%;4;Medium;3;Medium;1;Very Low;4;High;2;Low;3;Medium;3;Medium
Mauritania;70%;5;High;5;Extreme;3;Medium;4;High;4;High;1;Very Low;4;High
Mauritius;77%;5;High;5;Extreme;5;Extreme;4;High;4;High;2;Low;3;Medium
Malawi;43%;2;Very Low;1;Very Low;1;Very Low;3;Medium;3;Medium;4;High;1;Very Low
Malaysia;63%;4;Medium;3;Medium;5;Extreme;2;Low;3;Medium;2;Low;4;High
Namibia;67%;5;High;4;High;3;Medium;3;Medium;3;Medium;3;Medium;4;High
Niger;53%;3;Low;2;Low;1;Very Low;4;High;2;Low;4;High;3;Medium
Nigeria;50%;3;Low;2;Low;1;Very Low;3;Medium;2;Low;4;High;3;Medium
Nicaragua;57%;4;Medium;3;Medium;3;Medium;2;Low;2;Low;4;High;3;Medium
Netherlands;50%;3;Low;3;Medium;4;High;1;Very Low;2;Low;4;High;1;Very Low
Norway;47%;4;Medium;3;Medium;3;Medium;2;Low;4;High;1;Very Low;1;Very Low
Nepal;63%;3;Low;2;Low;2;Low;5;Extreme;4;High;4;High;2;Low
New Zealand;60%;4;Medium;3;Medium;3;Medium;2;Low;2;Low;4;High;4;High
Oman;70%;4;Medium;5;Extreme;5;Extreme;3;Medium;3;Medium;2;Low;3;Medium
Pakistan;40%;2;Very Low;1;Very Low;1;Very Low;3;Medium;2;Low;4;High;1;Very Low
Panama;67%;5;High;3;Medium;4;High;3;Medium;4;High;3;Medium;3;Medium
Peru;67%;4;Medium;3;Medium;3;Medium;3;Medium;3;Medium;4;High;4;High
Philippines;57%;3;Low;3;Medium;2;Low;3;Medium;3;Medium;3;Medium;3;Medium
Papua New Guinea;50%;4;Medium;3;Medium;1;Very Low;1;Very Low;3;Medium;4;High;3;Medium
Poland;33%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;5;Extreme;1;Very Low
Portugal;57%;4;Medium;3;Medium;4;High;3;Medium;4;High;2;Low;1;Very Low
Paraguay;33%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;5;Extreme;1;Very Low
French Polynesia;77%;5;High;5;Extreme;5;Extreme;5;Extreme;2;Low;2;Low;4;High
Romania;37%;2;Very Low;2;Low;1;Very Low;2;Low;2;Low;3;Medium;1;Very Low
Russian Federation;37%;2;Very Low;1;Very Low;1;Very Low;2;Low;2;Low;4;High;1;Very Low
Rwanda;63%;3;Low;2;Low;2;Low;4;High;4;High;4;High;3;Medium
Saudi Arabia;53%;4;Medium;5;Extreme;5;Extreme;2;Low;2;Low;1;Very Low;1;Very Low
Senegal;57%;4;Medium;3;Medium;3;Medium;4;High;2;Low;2;Low;3;Medium
Solomon Islands;63%;4;Medium;3;Medium;5;Extreme;1;Very Low;2;Low;5;Extreme;3;Medium
Sierra Leone;50%;3;Low;3;Medium;2;Low;1;Very Low;3;Medium;3;Medium;3;Medium
El Salvador;77%;5;High;4;High;3;Medium;4;High;5;Extreme;3;Medium;4;High
Serbia;30%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;2;Low;3;Medium;1;Very Low
Sao Tome and Principe;80%;5;High;5;Extreme;3;Medium;5;Extreme;4;High;3;Medium;4;High
Suriname;60%;4;Medium;4;High;3;Medium;2;Low;3;Medium;3;Medium;3;Medium
Slovakia;40%;3;Low;3;Medium;1;Very Low;2;Low;2;Low;3;Medium;1;Very Low
Slovenia;47%;3;Low;3;Medium;1;Very Low;1;Very Low;3;Medium;2;Low;4;High
Sweden;37%;3;Low;3;Medium;1;Very Low;2;Low;2;Low;2;Low;1;Very Low
Eswatini;77%;5;High;5;Extreme;3;Medium;3;Medium;4;High;4;High;4;High
Seychelles;67%;4;Medium;5;Extreme;5;Extreme;3;Medium;2;Low;1;Very Low;4;High
Syrian Arab Republic;50%;3;Low;2;Low;2;Low;1;Very Low;4;High;4;High;2;Low
Togo;53%;3;Low;2;Low;2;Low;4;High;2;Low;3;Medium;3;Medium
Thailand;50%;3;Low;1;Very Low;3;Medium;2;Low;1;Very Low;5;Extreme;3;Medium
Tajikistan;70%;5;High;3;Medium;3;Medium;4;High;4;High;4;High;3;Medium
Trinidad and Tobago;77%;5;High;5;Extreme;5;Extreme;3;Medium;4;High;3;Medium;3;Medium
Tunisia;57%;4;Medium;3;Medium;5;Extreme;3;Medium;3;Medium;2;Low;1;Very Low
Turkey;43%;3;Low;2;Low;2;Low;2;Low;3;Medium;3;Medium;1;Very Low
Taiwan, Province of China;63%;5;High;3;Medium;5;Extreme;1;Very Low;3;Medium;3;Medium;4;High
Tanzania, United Republic of;37%;2;Very Low;1;Very Low;1;Very Low;3;Medium;1;Very Low;4;High;1;Very Low
Uganda;43%;3;Low;1;Very Low;1;Very Low;3;Medium;1;Very Low;5;Extreme;2;Low
Ukraine;43%;4;Medium;5;Extreme;1;Very Low;1;Very Low;1;Very Low;4;High;1;Very Low
Uruguay;47%;4;Medium;3;Medium;2;Low;2;Low;1;Very Low;5;Extreme;1;Very Low
United States of America;33%;2;Very Low;1;Very Low;1;Very Low;1;Very Low;1;Very Low;5;Extreme;1;Very Low
Saint Vincent and the Grenadines;87%;5;High;5;Extreme;5;Extreme;5;Extreme;4;High;3;Medium;4;High
Viet Nam;53%;3;Low;2;Low;3;Medium;2;Low;3;Medium;2;Low;4;High
Samoa;67%;4;Medium;5;Extreme;4;High;1;Very Low;3;Medium;4;High;3;Medium
Yemen;73%;5;High;5;Extreme;5;Extreme;1;Very Low;4;High;2;Low;5;Extreme
South Africa;43%;3;Low;3;Medium;1;Very Low;2;Low;2;Low;3;Medium;2;Low
Zambia;37%;2;Very Low;1;Very Low;1;Very Low;2;Low;1;Very Low;5;Extreme;1;Very Low
Zimbabwe;70%;5;High;3;Medium;3;Medium;4;High;3;Medium;3;Medium;5;Extreme
